PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),O3 (µg/m³),Temperature (°C),Humidity (%),Wind Speed (m/s),Pressure (hPa),Precipitation (mm),Visibility (km),AQI,Season,City,Weather Condition
164.6,266.7,81.3,13.8,2.21,81.8,26.7,37.7,4.2,1004.7,3.8,5.2,246,Winter,Guangzhou,Hazy
54,79.2,19.2,10.1,0.9,67.3,23.7,88.7,6,1017.1,6.5,13.9,73,Winter,Guangzhou,Hazy
122.6,172,59.8,18.6,1.75,68,29,57.4,4.1,1009.3,2.7,9.4,173,Autumn,Guangzhou,Cloudy
63,104.4,42.6,5.9,0.96,72.2,12.1,82.9,3.6,1006.3,1.5,11.9,101,Summer,Shanghai,Hazy
98.4,168.5,26.9,17.3,1.37,82.5,11.6,78,4.5,1006.8,1.6,15,119,Autumn,Guangzhou,Hazy
102.9,179.8,34.2,15.3,1.5,98,16.4,66.2,3.1,1008.8,3.6,10.8,152,Autumn,Beijing,Cloudy
41.4,74.8,5,6.9,0.67,68.7,14.1,75.6,0.8,1018.6,0,12,61,Summer,Shanghai,Hazy
174.8,293,68.5,23.4,2.38,53.1,32.7,83.3,3.6,1021.8,2.9,6.5,252,Summer,Beijing,Clear
141.8,173.9,66.8,25,1.82,75.5,15.7,57.2,5.8,1023.7,1.3,10.3,177,Spring,Guangzhou,Clear
169.7,244.3,84.4,21.5,2.37,67.8,35.4,53,1.5,1018.6,4.7,7.5,217,Spring,Shanghai,Hazy
162.1,267.2,67.5,21,2.23,82.7,18.8,71.7,4.3,1004.5,0.3,5.5,235,Spring,Beijing,Cloudy
111.6,175.6,65.4,13.8,1.61,73.6,14.7,79.4,1.6,1015.6,2.7,11.4,166,Autumn,Guangzhou,Hazy
166.7,213.9,54.6,18.1,2.33,55.7,30.5,76.9,3.4,1008.1,2,6.5,212,Summer,Beijing,Hazy
25,35,5,9,0.68,84.1,27.1,78.9,1,1002.6,3.1,15,26,Autumn,Beijing,Clear
43.3,65,24.6,5.8,0.85,88.1,23,59,3,1020.2,0.2,14.7,77,Spring,Beijing,Hazy
17.7,20.5,20,6,0.31,87.7,24.4,80,4.7,996.2,2.6,13.5,20,Summer,Guangzhou,Cloudy
65.3,83.5,32.5,9.1,0.93,78.3,28.7,41.6,2.4,1022.1,2.5,14,111,Summer,Guangzhou,Cloudy
76.1,113.3,16,13,1.11,83.7,15.9,64.9,4.2,1008.8,2.5,11.7,89,Summer,Beijing,Rainy
56.1,98.3,28.8,10.6,0.93,87.3,35.9,35.3,4.9,1014.1,2.8,13.8,86,Summer,Shanghai,Hazy
150.9,245.6,49.8,22.2,2.1,78.5,35.3,52.9,5.6,1014.8,3.4,8.9,198,Winter,Shanghai,Clear
70.6,91.5,41.4,9.5,1.04,79.3,26.9,55.2,1.8,1021.9,4.9,10.6,106,Summer,Guangzhou,Cloudy
57.8,102,33.9,9,0.96,71.1,15.2,56.8,2.7,1014.1,0.9,11.4,81,Winter,Guangzhou,Rainy
102.3,143.6,36.4,11.3,1.42,69.5,27.7,73.3,1.3,1013.4,5.2,11.9,137,Spring,Guangzhou,Rainy
34,55,16.7,6.1,0.61,90.4,11.9,56.4,6,997,2.1,13,45,Spring,Guangzhou,Rainy
146.4,248.1,50.6,19.8,1.89,52.6,10.8,59.7,5.6,1010.6,0.2,7.8,191,Summer,Guangzhou,Clear
22.7,29.8,17.3,8.5,0.45,81.7,16.7,48.1,3.5,999.5,0.2,12.5,44,Autumn,Shanghai,Clear
177.8,300,81.8,19,2.28,53.9,22,55.5,5.1,1017.1,1.2,7.6,244,Summer,Guangzhou,Cloudy
141.3,233.7,49.6,20.7,1.87,63.4,32.6,47.5,3.4,1010.4,4.6,11.7,191,Summer,Beijing,Hazy
43.8,73.3,30.4,12.4,0.86,90.1,28.9,39,3.9,1015.4,3.7,11.4,50,Summer,Beijing,Clear
10.9,15,8.5,6.3,0.31,81,29.3,68.2,1,996.3,4.7,14.5,20,Summer,Shanghai,Clear
148.6,216.8,54.1,24.5,2.24,62.7,21.1,71.8,4.7,997.5,2.2,10.4,199,Winter,Beijing,Hazy
130.2,191.9,54.5,14.7,1.85,48.1,19,69.1,1.2,1016.5,1.7,9,213,Spring,Shanghai,Clear
133.9,180.7,46.5,13.7,1.87,72.9,19.6,60.5,5,997.2,0.5,9.7,188,Spring,Shanghai,Hazy
141.1,256.3,53.9,12.8,1.87,70.8,35.7,55.9,4.8,997.1,1.2,7.1,197,Spring,Beijing,Rainy
22.6,31.5,5.9,10.7,0.58,103.2,11,82.5,4.4,995.4,1.7,14.6,25,Winter,Guangzhou,Hazy
70.9,121.7,54.5,13.1,1.06,67.8,32.5,63.5,0.7,1023.7,0.3,11.5,112,Winter,Beijing,Clear
29.7,56.2,20.7,6.8,0.62,79.1,25,61.4,2.2,1017.1,0.7,15,55,Spring,Beijing,Clear
156.7,271,57.9,20.5,2.34,64.2,21.4,36.4,1.9,1005.6,2.7,9.7,206,Autumn,Shanghai,Rainy
116,183.5,52.7,12.2,1.63,85,28.9,53.8,2.5,1003.9,4,13.7,174,Spring,Beijing,Hazy
66.3,114.3,32.1,18,1.14,70.9,22.7,55.9,1,1005.5,19.2,12.9,94,Spring,Shanghai,Rainy
20.8,31.8,15.1,6.5,0.44,80.9,32.7,56.9,5.7,1018.2,8.1,14.6,33,Winter,Guangzhou,Clear
62.9,90.8,38.1,10.6,1,79.8,33.4,66.9,3.5,1014.8,3.1,12.5,94,Summer,Guangzhou,Hazy
65.3,105.1,40.4,12.7,1.18,74.4,21,64.3,2.2,1000.6,1.6,11.5,97,Spring,Guangzhou,Hazy
134,190.8,51.6,18.8,1.81,58.6,17.2,68.4,2.7,1000.2,3,9.5,192,Winter,Beijing,Rainy
118.4,148.5,45.7,16.5,1.82,68.1,25.4,77.1,3,998,4.6,9.2,165,Summer,Shanghai,Hazy
160.8,258.9,63.5,17.7,2.24,73.6,33.7,79.7,3.8,1014.8,0.4,8,219,Winter,Guangzhou,Hazy
90.3,126.4,18.6,14.4,1.29,56.8,15.5,74.5,3.3,1017.9,1.6,12.9,114,Winter,Shanghai,Rainy
30.3,47.1,5.5,12.7,0.66,78,26.2,87.6,5.6,1003,5.5,12.1,38,Winter,Shanghai,Clear
131.3,249.7,69.6,21.2,1.9,55.8,26.4,36,3.2,995.6,1.5,10.8,212,Winter,Guangzhou,Cloudy
139.3,236.2,75.2,22.7,1.97,77.6,29.1,45.8,6,997.5,2.5,10.7,181,Winter,Guangzhou,Clear
105.4,143.5,44.4,13,1.39,49.1,13.4,35.4,5.2,1024,2.7,10.1,126,Spring,Shanghai,Cloudy
141.1,186.8,65.1,15.1,1.88,56.4,28.6,70.6,1.6,1003.9,0.6,5.5,199,Autumn,Guangzhou,Cloudy
93.9,171.7,46,13,1.36,73.3,33.6,84.4,5.6,1018.1,1.3,9.9,134,Summer,Shanghai,Clear
98.9,151.9,75.4,14.1,1.43,86.9,14.7,48.4,1.1,1013.7,1.2,12.5,150,Summer,Shanghai,Clear
82.7,152.3,50.1,15.6,1.29,69.3,16.2,86,5,1006.5,0.1,11.2,125,Spring,Guangzhou,Clear
14.3,25.4,13.7,1,0.44,71.6,35.3,38.3,2.6,1001.2,0.1,12.9,24,Autumn,Beijing,Hazy
28.3,41.5,10.4,11.4,0.48,99.2,14.7,86.4,5.3,998.6,5.3,13,51,Spring,Guangzhou,Hazy
15.3,22.3,5,5.1,0.46,60.8,32.2,54.3,5.3,1013.5,1,15,20,Winter,Beijing,Clear
118.2,167.4,53.4,14.5,1.72,39.4,22.8,40.6,4.9,1018.2,2.2,10.5,154,Summer,Shanghai,Hazy
63.4,116.8,24.6,7.3,1.06,77.7,16.4,61.7,4.8,1014.3,1.1,11.8,88,Winter,Shanghai,Cloudy
96.5,136.2,29.5,8.7,1.49,62.4,32.6,49.1,2.2,1010.9,8.5,10.1,108,Spring,Beijing,Clear
164.3,214.1,61,22.9,2.29,48,21.6,50.7,0.9,996.3,0.9,7,224,Summer,Shanghai,Clear
52.4,78.9,17.5,9.5,0.92,82.2,23.4,51.9,2.7,1024.1,1.7,11.3,93,Autumn,Beijing,Cloudy
79.8,144.1,54.8,8.1,1.2,73.4,19.3,79.2,1.5,1019,6.2,13.8,118,Spring,Beijing,Hazy
138.4,221.5,67.3,14,1.78,56.6,25.4,64.7,4.3,1003.8,5.5,8.3,195,Summer,Shanghai,Rainy
48.9,69.9,27,7.9,0.87,58.8,14.3,52.1,2.4,1024.4,0.6,14.6,59,Autumn,Beijing,Clear
23.1,32,32.9,11.3,0.54,87.7,20.2,68.6,5.9,1013.1,4.9,15,25,Winter,Guangzhou,Clear
59.3,96.1,31.5,9.1,0.98,80.7,35.2,74.4,4,1012.5,1.8,13.8,80,Spring,Guangzhou,Cloudy
37.4,63.1,14.5,3.2,0.6,74.3,16.7,50,5,1017.4,2,12.7,48,Spring,Shanghai,Clear
168,219.2,84,20.1,2.18,82,27.1,57.7,1.2,1019.4,0.4,8,248,Spring,Shanghai,Clear
147.4,228.1,67,17.9,2.1,49.5,18.5,41.7,5.2,1014.7,0.3,8.3,213,Spring,Beijing,Clear
117.7,192.3,40.8,7.7,1.66,47.6,30.1,45,5.6,998.8,3.9,8.3,147,Autumn,Beijing,Hazy
158.1,250.9,63.4,19.7,2.2,52.7,13.4,72.5,3.2,1005.1,2.1,8.4,224,Summer,Beijing,Hazy
146.6,233.7,52.6,18,2.01,61.9,35.2,45,3.8,1022.8,1.7,6.6,208,Summer,Beijing,Cloudy
41.7,66.6,10.8,10.3,0.75,77.9,21.8,63.9,4.7,1001.7,3.9,14.9,68,Spring,Guangzhou,Hazy
161.7,236.6,75.9,25.7,2.27,57.7,16.1,74,1.5,1006.2,4.4,7,245,Autumn,Guangzhou,Clear
101.7,155.3,64.7,17.5,1.43,72,11.9,40.9,3.3,1008,0.5,10.7,136,Autumn,Shanghai,Cloudy
147.3,256.5,47.6,17.9,2.02,47.3,14.4,66.2,2.7,1008.2,2.8,8.8,196,Autumn,Beijing,Clear
162.3,274,72.4,16.9,2.16,77.8,23.5,49.1,1.3,1013.4,0.4,7.3,216,Winter,Beijing,Rainy
64.1,110.5,25.9,18.1,0.98,71.3,18.8,88,2.5,1023.3,4.2,13,88,Summer,Shanghai,Hazy
28.7,42.3,15.2,7,0.57,90,31.6,61.6,0.9,1002.2,3.2,13,48,Winter,Beijing,Rainy
48.7,74.5,21.1,8.9,0.85,78.3,21.2,79.3,0.6,998.6,9.4,14.1,78,Spring,Beijing,Cloudy
82.6,123.7,30.3,12.2,1.2,75.6,16.5,65.3,1.2,1000.9,0.2,9.3,116,Winter,Beijing,Rainy
149.1,254.4,62.7,19.5,2.14,68.9,26,37.4,5.8,1021.6,0.2,8.5,204,Summer,Beijing,Clear
156.3,244.7,56.4,19.2,2.05,66.6,28.4,69.8,3.5,1014.4,1,10.9,217,Summer,Beijing,Hazy
11.2,22.4,16.6,3.4,0.37,86.4,14.3,87.3,5.8,1003.6,0.9,13,20,Winter,Shanghai,Cloudy
96.8,175.7,43.4,12,1.38,84.3,14.4,68.1,2.9,1019.5,0.9,9.6,164,Spring,Beijing,Cloudy
81,140,35.9,12,1.34,72.6,11,80.1,2.2,1020.8,7.1,12.1,94,Spring,Shanghai,Cloudy
47.8,71.8,17.6,7.1,0.84,82.8,29.1,83.6,3.3,1020.4,0.9,13.1,69,Spring,Beijing,Rainy
30.4,49.8,14.9,4.9,0.7,75.3,27.3,47.5,2.9,1022.6,1,14.2,70,Winter,Guangzhou,Clear
67.4,84.5,41.1,11.1,0.94,89.2,22.3,46.7,1.1,1002.6,4.3,12.7,95,Spring,Guangzhou,Rainy
170.3,268.8,74.6,20.3,2.31,51.4,31.9,68.6,4,1017.7,1.8,8.3,236,Autumn,Guangzhou,Clear
64.9,82.6,23,15,1.1,93.8,30.9,57.6,1.7,1008.8,4.5,13.7,82,Winter,Guangzhou,Rainy
98.2,148.7,45.4,5.9,1.43,67.7,25.2,81.2,3.9,1020.3,0.2,11.2,136,Winter,Shanghai,Hazy
129.5,194.4,62.8,20.2,1.89,47.3,32.6,84.5,4.1,1016.9,2,8.8,199,Spring,Shanghai,Hazy
71.8,101.3,18.4,14.9,1.07,72.9,15.4,54.4,1.3,1018.3,0.1,12.8,74,Autumn,Beijing,Cloudy
175.2,279.9,76.8,15.3,2.47,50.8,12.9,48,0.8,1014.7,0.2,10,269,Summer,Guangzhou,Cloudy
173.6,231.5,64.1,20.3,2.52,69.3,17,77.9,4.8,1000.3,7.1,7,211,Summer,Shanghai,Clear
52.8,74.8,34.2,8.2,0.85,65.8,11.5,50.1,3,1011.4,0.4,11.2,76,Spring,Beijing,Hazy
94.5,178.2,35.5,9.2,1.35,63.3,23.8,80.2,0.8,1024.5,2.3,12.4,133,Summer,Beijing,Clear
61.1,82.4,13.4,7.8,1.1,50,34.4,58.3,6,1023.1,1.6,12.1,88,Winter,Shanghai,Cloudy
58.4,84.1,14.2,6.5,1.08,67.6,11,71.7,0.8,996.3,1.3,9.1,64,Summer,Guangzhou,Clear
16.3,26.5,16.2,10.9,0.4,49,13.2,40.3,4.3,999.9,6.9,15,30,Autumn,Beijing,Clear
113.6,207.7,52.4,18.2,1.58,47.4,21.8,69.3,5.9,999,0.1,9.1,188,Summer,Guangzhou,Rainy
95.5,124.2,34.4,17.4,1.37,77.7,34.3,59.8,1.8,1016.8,3.3,10.6,113,Autumn,Guangzhou,Clear
18.8,23.1,22.9,8,0.37,87.2,18.2,67.3,1.3,1019.5,9.9,14.7,28,Summer,Guangzhou,Rainy
57.4,69.6,13.5,6.3,0.86,78.2,23.2,44.2,1.2,1001.4,2.5,12.7,70,Winter,Beijing,Clear
